campaign_id,industry,marketing_channel,ad_spend,duration,target_audience,region,device,operating_system,browser,engagement_metric,conversion_rate,success,budget_allocation,audience_reach,device_conversion_rate,os_conversion_rate,browser_conversion_rate
1,manufacturing,email,41484,71,18-34,Europe,tablet,Android,Safari,12547,0.141545,1,584.2816901,12547,70%,80%,70%
2,services,influencer,23155,13,55+,Africa,mobile,Android,Chrome,155190,0.498371967,1,1781.153846,258650,80%,80%,90%
4,technology,content marketing,28154,60,35-54,South America,mobile,Windows,Chrome,121101,0.297613741,1,469.2333333,151376.25,80%,70%,90%
6,finance,social media,35294,57,35-54,Africa,mobile,Windows,Chrome,441403,0.599037854,1,619.1929825,551753.75,80%,70%,90%
11,finance,content marketing,30414,83,35-54,North America,desktop,Windows,Safari,99871,0.930469524,1,366.4337349,124838.75,90%,70%,70%
12,healthcare,social media,49831,87,35-54,Europe,tablet,Android,Firefox,263712,0.516423337,1,572.7701149,329640,70%,80%,80%
14,services,email,24060,73,35-54,Africa,desktop,Android,Firefox,484183,0.292138704,1,329.5890411,605228.75,90%,80%,80%
15,retail,search engine,5096,74,18-34,North America,desktop,Windows,Firefox,403805,0.216099112,1,68.86486486,403805,90%,70%,80%
16,e-commerce,search engine,23347,71,35-54,Europe,tablet,Windows,Safari,335484,0.96236771,0,328.8309859,419355,70%,70%,70%
17,e-commerce,content marketing,43169,57,18-34,Europe,mobile,Android,Safari,368298,0.60293832,1,757.3508772,368298,80%,80%,70%
19,e-commerce,search engine,16058,45,35-54,Africa,mobile,iOS,Firefox,265121,0.745113387,1,356.8444444,331401.25,80%,90%,80%
20,services,email,17218,16,55+,Asia-Pacific,mobile,Android,Safari,376480,0.289274913,1,1076.125,627466.6667,80%,80%,70%
21,services,social media,21982,50,55+,Africa,desktop,Windows,Chrome,239376,0.503837739,1,439.64,398960,90%,70%,90%
24,e-commerce,content marketing,30004,69,55+,South America,mobile,iOS,Chrome,251166,0.956551984,1,434.8405797,418610,80%,90%,90%
26,services,social media,49741,71,18-34,Asia-Pacific,tablet,Android,Chrome,313983,0.171113722,1,700.5774648,313983,70%,80%,90%
27,finance,email,6324,47,18-34,Africa,mobile,Windows,Safari,456568,0.825271366,1,134.5531915,456568,80%,70%,70%
30,technology,social media,29495,8,35-54,Europe,mobile,Android,Firefox,227474,0.299077897,1,3686.875,284342.5,80%,80%,80%
31,e-commerce,email,42932,79,18-34,North America,tablet,Android,Safari,299902,0.089400791,1,543.443038,299902,70%,80%,70%
32,finance,social media,31092,82,55+,Europe,tablet,Windows,Safari,397170,0.852920479,1,379.1707317,661950,70%,70%,70%
33,finance,search engine,6339,66,55+,Asia-Pacific,tablet,Windows,Safari,262230,0.116646527,1,96.04545455,437050,70%,70%,70%
34,finance,search engine,17286,31,55+,North America,desktop,iOS,Safari,115304,0.541435083,0,557.6129032,192173.3333,90%,90%,70%
35,technology,email,34235,67,35-54,Europe,desktop,iOS,Chrome,241059,0.375947896,1,510.9701493,301323.75,90%,90%,90%
36,services,content marketing,16595,28,18-34,Africa,tablet,Android,Safari,104820,0.756854223,1,592.6785714,104820,70%,80%,70%
38,services,social media,18629,27,35-54,South America,tablet,iOS,Firefox,55452,0.776137504,1,689.962963,69315,70%,90%,80%
44,retail,influencer,37035,10,18-34,Europe,mobile,iOS,Firefox,326133,0.902742313,1,3703.5,326133,80%,90%,80%
47,services,email,37986,29,55+,Africa,tablet,iOS,Firefox,76173,0.923929581,1,1309.862069,126955,70%,90%,80%
48,e-commerce,social media,38301,47,18-34,Asia-Pacific,tablet,Windows,Chrome,105512,0.250054696,1,814.9148936,105512,70%,70%,90%
53,finance,search engine,33715,7,55+,Asia-Pacific,mobile,Windows,Chrome,146420,0.646202776,1,4816.428571,244033.3333,80%,70%,90%
54,manufacturing,influencer,42109,36,35-54,Europe,desktop,iOS,Firefox,297999,0.150142307,1,1169.694444,372498.75,90%,90%,80%
55,retail,content marketing,42850,23,55+,Europe,mobile,Android,Safari,159108,0.512467544,1,1863.043478,265180,80%,80%,70%
59,retail,search engine,43362,58,35-54,Africa,tablet,Windows,Chrome,14600,0.585136582,1,747.6206897,18250,70%,70%,90%
61,services,social media,49614,64,55+,North America,mobile,iOS,Safari,22190,0.739779641,1,775.21875,36983.33333,80%,90%,70%
62,e-commerce,influencer,25639,28,35-54,Africa,tablet,Windows,Chrome,164479,0.072601445,1,915.6785714,205598.75,70%,70%,90%
65,e-commerce,search engine,17766,43,18-34,South America,desktop,Android,Firefox,155350,0.436073075,1,413.1627907,155350,90%,80%,80%
73,technology,email,34372,10,18-34,North America,tablet,Android,Safari,123534,0.205293993,1,3437.2,123534,70%,80%,70%
74,services,content marketing,12707,69,35-54,Asia-Pacific,tablet,Android,Chrome,445316,0.914235985,1,184.1594203,556645,70%,80%,90%
76,services,social media,40815,88,35-54,Europe,desktop,iOS,Safari,171674,0.3938227,1,463.8068182,214592.5,90%,90%,70%
77,services,influencer,31497,56,35-54,South America,tablet,Windows,Safari,205725,0.170967753,1,562.4464286,257156.25,70%,70%,70%
78,manufacturing,content marketing,35524,22,18-34,North America,mobile,iOS,Chrome,480888,0.802681453,1,1614.727273,480888,80%,90%,90%
81,retail,email,18366,50,55+,North America,desktop,Windows,Firefox,158208,0.161496963,1,367.32,263680,90%,70%,80%
83,technology,content marketing,39246,56,35-54,Europe,tablet,Android,Chrome,353703,0.204163846,0,700.8214286,442128.75,70%,80%,90%
84,manufacturing,search engine,31928,86,35-54,North America,tablet,iOS,Safari,107599,0.038834393,1,371.255814,134498.75,70%,90%,70%
85,e-commerce,influencer,25581,36,18-34,Asia-Pacific,tablet,Android,Firefox,488892,0.484471717,1,710.5833333,488892,70%,80%,80%
87,healthcare,influencer,42638,27,18-34,Africa,desktop,Windows,Firefox,176374,0.124287563,1,1579.185185,176374,90%,70%,80%
88,manufacturing,content marketing,24843,28,18-34,Europe,mobile,Android,Firefox,200398,0.605518957,1,887.25,200398,80%,80%,80%
93,manufacturing,content marketing,24973,34,18-34,Africa,mobile,iOS,Chrome,59218,0.831211751,1,734.5,59218,80%,90%,90%
94,finance,content marketing,46107,39,18-34,South America,desktop,Windows,Firefox,180390,0.771376614,1,1182.230769,180390,90%,70%,80%
97,retail,content marketing,26457,86,35-54,South America,mobile,Android,Chrome,255046,0.617789147,1,307.6395349,318807.5,80%,80%,90%
105,healthcare,influencer,21032,84,55+,North America,mobile,iOS,Chrome,221162,0.441154806,1,250.3809524,368603.3333,80%,90%,90%
108,retail,email,44989,70,18-34,South America,mobile,Android,Safari,466915,0.789764374,1,642.7,466915,80%,80%,70%
109,services,social media,13957,53,55+,North America,mobile,iOS,Chrome,88679,0.824774458,1,263.3396226,147798.3333,80%,90%,90%
110,services,search engine,16843,73,35-54,Africa,desktop,iOS,Safari,306547,0.031719117,1,230.7260274,383183.75,90%,90%,70%
111,services,social media,7612,16,35-54,Asia-Pacific,tablet,iOS,Firefox,171818,0.95336958,1,475.75,214772.5,70%,90%,80%
112,e-commerce,social media,25946,10,35-54,South America,mobile,Android,Safari,430549,0.871871981,1,2594.6,538186.25,80%,80%,70%
113,healthcare,content marketing,17020,36,18-34,North America,tablet,iOS,Firefox,42620,0.904969758,1,472.7777778,42620,70%,90%,80%
115,e-commerce,search engine,35247,57,35-54,Europe,mobile,Android,Safari,319980,0.496959859,1,618.3684211,399975,80%,80%,70%
118,technology,email,22288,63,18-34,North America,mobile,iOS,Firefox,54424,0.126146148,1,353.7777778,54424,80%,90%,80%
120,finance,influencer,49169,84,18-34,South America,mobile,iOS,Firefox,282682,0.58112978,1,585.3452381,282682,80%,90%,80%
121,e-commerce,email,39569,80,18-34,South America,desktop,Windows,Chrome,426726,0.135981792,1,494.6125,426726,90%,70%,90%
124,healthcare,influencer,19265,86,55+,North America,mobile,Windows,Safari,15343,0.926947317,1,224.0116279,25571.66667,80%,70%,70%
126,finance,email,34905,59,18-34,Africa,mobile,Windows,Firefox,486826,0.717976196,1,591.6101695,486826,80%,70%,80%
127,manufacturing,search engine,29235,33,35-54,Asia-Pacific,mobile,Windows,Chrome,31866,0.645306919,1,885.9090909,39832.5,80%,70%,90%
130,technology,search engine,45323,19,55+,South America,desktop,Android,Firefox,167226,0.349921536,1,2385.421053,278710,90%,80%,80%
131,finance,influencer,35091,78,18-34,Europe,mobile,Windows,Safari,85981,0.274400896,1,449.8846154,85981,80%,70%,70%
132,services,content marketing,32771,66,35-54,Africa,mobile,iOS,Chrome,498829,0.945470612,1,496.530303,623536.25,80%,90%,90%
133,technology,influencer,14776,20,35-54,South America,tablet,iOS,Chrome,258280,0.441270238,1,738.8,322850,70%,90%,90%
134,manufacturing,search engine,5919,50,55+,Asia-Pacific,desktop,iOS,Safari,398476,0.842193549,1,118.38,664126.6667,90%,90%,70%
136,e-commerce,email,25954,34,35-54,Africa,desktop,Android,Firefox,220696,0.656134947,1,763.3529412,275870,90%,80%,80%
140,retail,influencer,12945,57,35-54,Europe,tablet,Windows,Chrome,23009,0.84966963,1,227.1052632,28761.25,70%,70%,90%
141,e-commerce,content marketing,15863,28,35-54,Africa,mobile,iOS,Safari,473595,0.045977541,1,566.5357143,591993.75,80%,90%,70%
142,manufacturing,influencer,20857,68,35-54,Europe,desktop,Android,Chrome,395322,0.996307939,1,306.7205882,494152.5,90%,80%,90%
144,manufacturing,content marketing,27954,64,35-54,North America,desktop,Android,Firefox,28780,0.702516786,1,436.78125,35975,90%,80%,80%
149,finance,content marketing,25966,8,18-34,South America,desktop,Windows,Safari,490660,0.414179008,1,3245.75,490660,90%,70%,70%
150,manufacturing,search engine,21037,37,18-34,Africa,mobile,iOS,Chrome,90059,0.586347494,1,568.5675676,90059,80%,90%,90%
151,finance,social media,7786,30,18-34,South America,desktop,Windows,Chrome,236630,0.602947727,1,259.5333333,236630,90%,70%,90%
153,services,content marketing,20231,53,55+,North America,tablet,Android,Chrome,18251,0.859673213,1,381.7169811,30418.33333,70%,80%,90%
154,e-commerce,email,16840,37,18-34,Asia-Pacific,desktop,Android,Safari,316969,0.08953769,1,455.1351351,316969,90%,80%,70%
155,finance,social media,7052,78,55+,Asia-Pacific,tablet,Android,Firefox,412018,0.273156647,1,90.41025641,686696.6667,70%,80%,80%
159,finance,content marketing,48993,65,18-34,Europe,mobile,iOS,Chrome,352850,0.358798655,1,753.7384615,352850,80%,90%,90%
163,manufacturing,social media,29330,60,35-54,South America,tablet,iOS,Safari,255561,0.597415963,1,488.8333333,319451.25,70%,90%,70%
164,manufacturing,social media,15401,27,18-34,South America,mobile,iOS,Safari,224090,0.80381527,1,570.4074074,224090,80%,90%,70%
170,manufacturing,email,34928,8,18-34,North America,tablet,Windows,Chrome,420287,0.872406435,1,4366,420287,70%,70%,90%
172,e-commerce,social media,38897,58,18-34,North America,desktop,iOS,Chrome,246331,0.021087186,1,670.637931,246331,90%,90%,90%
173,retail,search engine,42764,44,35-54,Europe,mobile,iOS,Chrome,208983,0.882678562,1,971.9090909,261228.75,80%,90%,90%
174,services,email,37374,9,35-54,Africa,desktop,Windows,Chrome,415870,0.613879261,1,4152.666667,519837.5,90%,70%,90%
176,e-commerce,social media,43409,83,18-34,South America,desktop,iOS,Safari,251824,0.502526723,1,523,251824,90%,90%,70%
